prompt,response
 I'm allowed to have plans on my birthday., It's your birthday?
 Yes., I knew that. Already?
 Yeah. Isn't that strange? It's the same day as last year.," Well, get yourself something nice from me."
 I already did., And?
" Oh, it was very nice.", Yeah.
" Very tasteful. Thank you, Mr. Stark."," You're welcome, Miss Potts... Okay."
iron man, You're good. I thought I lost you back there.
" You did, sir.  I had to cut across Mulholland.", I got you. I got you.
 What's wrong with you? , What?
 Three hours., I got caught doing a piece for Vanity Fair.
 For three hours. For three hours you got me standing here., Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!
iron man," What you reading, platypus?"
 Nothing.," Come on, sour patch."
 I'm not sour., Don't be mad.
" I told you, I'm not mad. I'm indifferent, okay?", I said I was sorry.
 You don't need to apologize to me., I told you I was sorry.
 I'm your man.," Hi. I told him I was sorry, but he..."
" You don't respect yourself, so I know you don't respect me.", I respect you.
" I'm just your babysitter. So, when you need your diaper changed...  Thank you. Let me know and I'll get you a bottle, okay?"," Hey! Heat up the sake, will you? Thanks for reminding me."
" No, I'm not talking... We're not drinking. We're working right now.", You can't have sashimi without sake.
 You are constitutionally incapable of being responsible., It would be irresponsible not to drink. I'm just talking about a nightcap.
iron man," Yes, two, please."
" That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!"," Hey, you know what? I'm not like you. I'm not cut out..."
" No, no. You don't have to be like me! But you're more than what you are.", Can you excuse me if I'm a bit distracted here?
 No! You can't be distracted right now! Listen to me!, General.
" Welcome, Mr. Stark. We look forward to your weapons presentation.", Thanks.
iron man," Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves.  For your consideration, the Jericho. "
iron man, I'll be throwing one of these in with every purchase of 500 million or more. To peace! 
  Tony.," Obie, what are you doing up?"
 I couldn't sleep till I found out how it went. How'd it go?, It went great. Looks like it's gonna be an early Christmas.
" Hey! Way to go, my boy! I'll see you tomorrow, yeah?", Why aren't you wearing those pajamas I got you?
" Hey, Tony. "," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."
 Nice job., See you back at base.
 I wouldn't do that if I were you., What the hell did you do to me?
" What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see?  I have a souvenir. Take a look.  I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs.", What is this?
" That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm?  That's right. Smile. We met once, you know, at a technical conference in Bern.", I don't remember.
" No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits.", Where are we?
" Come on, stand up. Stand up! Just do as I do. Come on, put your hands up.", Those are my guns. How did they get my guns?
" Do you understand me? Do as I do.  He says, ""Welcome, Tony, the most famous mass murderer ""in the history of America.""  He is honored.  He wants you to build the missile.  The Jericho missile that you demonstrated.  This one.", I refuse. 
 He wants to know what you think., I think you got a lot of my weapons.
" He says they have everything you need to build the Jericho missile. He wants you to make the list of materials.  He says for you to start working immediately, and when you're done, he will set you free."," No, he won't. "
"  I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony? Or are you going to do something about it?"," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week."
" Well, then, this is a very important week for you, isn't it? Hm?","  If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools.  How many languages do you speak?"
" A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian.", Who are these people?
" They are your loyal customers, sir. They call themselves the Ten Rings.  You know, we might be more productive if you include me in the planning process."," Uh-huh.  Okay, we don't need this."
 What is that?," That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?"
iron man," Careful. Careful, we only get one shot at this."
 Relax. I have steady hands. Why do you think you're still alive?, What do I call you?
 My name is Yinsen., Yinsen. Nice to meet you.
" Nice to meet you, too.  Whoa. That doesn't look like a Jericho missile.", That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.
 But what could it generate?," If my math is right, and it always is, three gigajoules per second."
 That could run your heart for 50 lifetimes., Yeah. Or something big for 15 minutes.
iron man,  This is our ticket out of here.
 What is it?, Flatten them out and look. 
 Good. Good roll. Good roll., You still haven't told me where you're from.
 I'm from a small town called Gulmira. It's actually a nice place., Got a family?
" Yes, and I will see them when I leave here. And you, Stark?", No.
 Open your mouth. , What does he want?
 He's building your Jericho. He's building your Jericho. , What do you want? A delivery date?  I need him. Good assistant.
" Okay? Can you move? Okay, say it again."," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."
 Yinsen! Yinsen! Stark!, Say something. Say something back to him.
 He's speaking Hungarian. I don't..., Then speak Hungarian.
 Okay. I know., What do you know?
iron man, How'd that work?
" Oh, my goodness. It worked all right.", That's what I do.
 Let me finish this., Initialize the power sequence.
 Okay., Now!
 Tell me. Tell me., Function 11. Tell me when you see a progress bar. It should be up right now.
 Yes., Talk to me. Tell me when you see it.
 I have it.," Press Control ""l""."
" ""I."""," ""I."" ""Enter."""
 Got it.," ""l"" and ""Enter."" Come over here and button me up."
 Okay. All right., Every other hex bolt.
 They're coming!," Nothing pretty, just get it done. Just get it done."
 They're coming.," Make sure the checkpoints are clear before you follow me out, okay?"
" We need more time. Hey, I'm gonna go buy you some time.", Stick to the plan! Stick to the plan!  Yinsen! Yinsen!
iron man, Yinsen!
 Watch out!  Stark.," Come on.  We got to go. Move for me, come on. We got a plan. We're gonna stick to it."
" This was always the plan, Stark."," Come on, you're gonna go see your family. Get up."
" My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this.", Thank you for saving me.
 Don't waste it. Don't waste your life., My turn.  Not bad.
iron man, Hey!  Hey!
" Watch it, coming up here.", Are you kidding me with this? Get rid of them.  Your eyes are red. A few tears for your long-lost boss?
 Tears of joy. I hate job hunting.," Yeah, vacation's over."
" Take us to the hospital, please, Happy.", No.
" No? Tony, you have to go to the hospital.", No is a complete answer.
 The doctor has to look at you.," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other..."
 That's enough of that., ...is not what you think. I want you to call for a press conference now.
 Call for a press conference?, Yeah.
 What on earth for?," Hogan, drive. Cheeseburger first."
 Look at this! Tony. We were going to meet at the hospital.," No, I'm fine."
" Look at you! You had to have a burger, yeah?"," Well, come on."
 You get me one of those?, There's only one left. I need it.
" Well, let's get this started, uh..."," Hey, would it be all right if everyone sat down?  Why don't you just sit down? That way you can see me, and I can... A little less formal and... "
 Don't look at me. I don't know what he's up to., Good to see you.
 Good to see you.," I never got to say goodbye to Dad. I never got to say goodbye to my father. There's questions that I would have asked him. I would have asked him how he felt about what this company did. If he was conflicted, if he ever had doubts. Or maybe he was every inch the man we all remember from the newsreels. I saw young Americans killed by the very weapons I created to defend them and protect them. And I saw that I had become part of a system that is comfortable with zero accountability."
 Mr. Stark!," Hey, Ben."
iron man," I had my eyes opened.  I came to realize that I have more to offer this world than just making things that blow up. And that is why, effective immediately, I am shutting down the weapons manufacturing division of Stark International  until such a time as I can decide what the future of the company will be."
 I think we're gonna be selling a lot of newspapers. ," What direction it should take, one that I'm comfortable with and is consistent with the highest good for this country, as well. "
" Well, that..uh... That went well.", Did I just paint a target on the back of my head?
 Your head? What about my head? What do you think the over-under on the stock drop is gonna be tomorrow?," Uh, optimistically, 40 points."
 At minimum., Yep.
" Tony, we're a weapons manufacturer."," Obie, I just don't want a body count to be our only legacy."
 That's what we do. We're iron mongers. We make weapons., It's my name on the side of the building.
 And what we do keeps the world from falling into chaos., Not based on what I saw. We're not doing a good enough job. We can do better. We're gonna do something else.
 Like what? You want us to make baby bottles?, I think we should take another look into arc reactor technology.
" Ah, come on. The arc reactor, that's a publicity stunt! Tony, come on. We built that thing to shut the hippies up.", It works.
" Yeah, as a science project. The arc was never cost effective. We knew that before we built it. Arc reactor technology, that's a dead end, right?", Maybe.
 Huh? Am I right? We haven't had a breakthrough in that in what? Thirty years.," That's what they say. Could you have a lousier poker face? Just tell me, who told you?"
 Never mind who told me. Show me., It's Rhodey or Pepper.
 I want to see it.," Okay, Rhodey. "
 Okay. , Okay? It works.
" Listen to me, Tony. We're a team. Do you understand? There's nothing we can't do if we stick together, like your father and I."," I'm sorry I didn't give you a heads-up, okay? But if I had..."
" Tony. Tony, no more of this ""ready, fire, aim"" business. You understand me?", That was Dad's line.
" Stark Industries! I've got one recommendation! Ready? Ready? Sell, sell, sell! Abandon ship! Does the Hindenburg ring any bells? Let me show you the new Stark Industries business plan! Look, that's a weapons company that doesn't make weapons!",  Pepper. How big are your hands?
 What?, How big are your hands?
 I don't understand why...," Get down here. I need you.  Hey. Let's see them. Show me your hands. Let's see them.  Oh, wow. They are small. Very petite, indeed. I just uh.. need your help for a sec."
" Oh, my God, is that the thing that's keeping you alive?"," It was. It is now an antique. This is what will be keeping me alive for the foreseeable future. I'm swapping it up for an upgraded unit, and I just ran into a little speed bump."
" Speed bump, what does that mean?", It's nothing. It's just a little snag. There's an exposed wire under this device. And it's contacting the socket wall and causing a little bit of a short. It's fine. 
 What do you want me to do?, Put that on the table over there. That is irrelevant.
" Oh, my God! "," I want you to reach in, and you're just gonna gently lift the wire out."
 Is it safe?," Yeah, it should be fine. It's like Operation. You just don't let it touch the socket wall or it goes ""beep."""
" What do you mean, ""Operation""?"," It's just a game, never mind. Just gently lift the wire."
 Okay., Okay? Great.
" You know, I don't think that I'm qualified to do this."," No, you're fine. You're the most capable, qualified, trustworthy person I've ever met. You're gonna do great. Is it too much of a problem to ask? 'Cause I'm..."
" Okay, okay.", I really need your help here.
" Okay.  Oh, there's pus!"," It's not pus. It's an inorganic plasmic discharge from the device, not from my body."
 It smells!," Yeah, it does. The copper wire. The copper wire, you got it?"
" Okay, I got it! I got it!"," Okay, you got it? Now, don't let it touch  the sides when you're coming out!"
 I'm sorry. I'm sorry.," That's what I was trying to tell you before. Okay, now make sure that when you pull it out, that you don't...  There's a magnet at the end of it! That was it. You just pulled it out."
" Oh, God!"," Okay, I was not expecting..."
" Okay, what do I do?", Don't put it back in! Don't put it back in!
 What's wrong?," Nothing, I'm just going into cardiac arrest--"
 What? You said it was safe!, 'cause you yanked it out like a trout... We gotta hurry. Take this. Take this. You gotta switch it out really quick.
 Okay. Okay. Tony?, What?
 It's going to be okay. Okay?, Is it?
 It's gonna be okay. I'm gonna make this okay.," Let's hope. Okay, you're gonna attach that to the base plate. Make s-sure you...  Was that so hard? That was fun, right? Here, I got it. I got it. Here. Nice."
 Are you okay?," Yeah, I feel great. You okay?"
" Don't ever, ever, ever, ever ask me to do anything like that ever again.", I don't have anyone but you. Anyway... 
 What do you want me to do with this? , That? Destroy it. Incinerate it.
 You don't want to keep it?," Pepper, I've been called many things. ""Nostalgic"" is not one of them."
" Will that be all, Mr. Stark?"," That will be all, Miss Potts.  Hey, Butterfingers, come here. What's all this stuff doing on top of my desk? That's my phone, that's a picture of me and my dad. Right there. In the garbage. All that stuff."
" The future of air combat. Is it manned or unmanned? I'll tell you, in my experience, no unmanned aerial vehicle will ever trump a pilot's instinct, his insight, that ability to look into a situation beyond the obvious and discern its outcome, or a pilot's judgment.", Colonel? Why not a pilot without the plane?
" Hello, sir."," Speaking of manned or unmanned, you gotta get him to tell you about the time he guessed wrong at spring break. Just remember that, spring break, 1987. That lovely lady you woke up with."
 Don't do that!, What was his name?
 Don't do that., Was it Ivan?
 Don't do that. They'll believe it., Okay.
 Don't do that., Okay.
 Don't do that., Pleasure meeting you.
" Give us a couple minutes, you guys.  I'm surprised.", Why?
" I swear, I didn't expect to see you walking around so soon.", I'm doing a little better than walking.
 Really?," Yeah. Rhodey, I'm working on something big. I came to talk to you. I want you to be a part of it."
" You're about to make a whole lot of people around here real happy, 'cause that little stunt at the press conference, that was a doozy.", This is not for the military. I'm not... It's different.
 What? You're a humanitarian now or something?, I need you to listen to me.
 No. What you need is time to get your mind right. I'm serious., Okay.
" It's nice seeing you, Tony. ", Thanks.
iron man," JARVIS, you up?"
" For you, sir, always."," I'd like to open a new project file, index as Mark Two."
 Shall I store this on the Stark Industries Central Database?," Actually, I don't know who to trust right now. Till further notice, why don't we just keep everything on my private server?"
" Working on a secret project, are we, sir?"," I don't want this winding up in the wrong hands. Maybe in mine, it can actually do some good."
iron man," Next. Up. Not in the boot, Dummy. Right here. You got me? Stay put. Nice. You're of no benefit at all. Move down to the toe. I got this. Okay, I'm sorry, am I in your way? Up. Screw it. Don't even move. You are a tragedy."
iron man," Okay, let's do this right. Start mark, half a meter, and back and center. Dummy, look alive. You're on standby for fire safety. You, roll it. Okay. Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift. And three, two, one."
iron man," Up two. All right, set that."
 I've been buzzing you. Did you hear the intercom?," Yeah, everything's... What? "
 Obadiah's upstairs., Great!
 What would you like me to tell him?, Great. I'll be right up.
 Okay. I thought you said you were done making weapons.," It is. This is a flight stabilizer. It's completely harmless.  I didn't expect that.  How'd it go? It went that bad, huh?"
 Just because I brought pizza back from New York doesn't mean it went bad. ," Sure doesn't. Oh, boy."
 It would have gone better if you were there.," Uh-huh. You told me to lay low. That's what I've been doing. I lay low, and you take care of all..."
" Hey, come on. In public. The press.  This was a board of directors meeting.", This was a board of directors meeting?
 The board is claiming you have post-traumatic stress. They're filing an injunction., A what?
 They want to lock you out.," Why, 'cause the stocks dipped 40 points? We knew that was gonna happen."
 Fifty-six and a half., It doesn't matter. We own the controlling interest in the company.
" Tony, the board has rights, too. They're making the case that you and your new direction isn't in the company's best interest."," I'm being responsible! That's a new direction for me, for the company. I mean, me on the company's behalf being responsible for the way that... This is great. "
" Oh, come on. Tony. Tony.", I'll be in the shop.
" Hey, hey! Hey, Tony. Listen. I'm trying to turn this thing around, but you gotta give me something. Something to pitch them. Let me have the engineers analyze that. You know, draw up some specs."," No. No, absolutely not."
 It'll give me a bone to throw the boys in New York!," This one stays with me. That's it, Obie. Forget it."
" All right, well, this stays with me, then.  Go on, here, you can have a piece. Take two.", Thank you.
 You mind if I come down there and see what you're doing?," Good night, Obie. "
iron man,"  Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. All right, nice and easy. Seriously, just gonna start off with 1% thrust capacity. And three, two, one.  Okay. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in. And again, let's bring it up to 2.5. Three, two, one.  Okay, this is where I don't want to be! Not the car, not the car! Table! Could be worse! Could be worse! We're fine! Okay.  No! Uh-uh! Uh-uh! Yeah, I can fly."
iron man," JARVIS, are you there?"
" At your service, sir.", Engage heads-up display.
 Check., Import all preferences from home interface.
" Will do, sir."," All right, what do you say?"
" I have indeed been uploaded, sir. We're online and ready.", Can we start the virtual walk-around?
 Importing preferences and calibrating virtual environment., Do a check on control surfaces
 As you wish.  Test complete. Preparing to power down and begin diagnostics.," Uh, yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control."
" Sir, there are still terabytes of calculations needed before an actual flight is..."," JARVIS! Sometimes you got to run before you can walk. Ready? In three, two, one.  Handles like a dream. All right, let's see what this thing can do. What's SR-71's record?"
" The altitude record for fixed wing flight is 85,000 feet, sir.", Records are made to be broken! Come on! 
" Sir, there is a potentially fatal buildup of ice occurring."," Keep going! Higher!  We iced up, JARVIS! Deploy flaps! JARVIS! Come on, we got to break the ice!"
iron man, Kill power.
iron man, Notes. Main transducer feels sluggish at plus 40 altitude. Hull pressurization is problematic. I'm thinking icing is the probable factor.
" A very astute observation, sir. Perhaps, if you intend to visit other planets, we should improve the exosystems.", Connect to the sys. co. Have it reconfigure the shell metals. Use the gold titanium alloy from the seraphim tactical satellite. That should ensure a fuselage integrity while maintaining power-to-weight ratio. Got it?
 Yes. Shall I render using proposed specifications?, Thrill me.
" Tonight's red-hot red carpet is right here at the Disney Concert Hall, where Tony's third annual benefit for the Firefighter's Family Fund has become the place to be for L.A.'s high society."," JARVIS, we get an invite for that?"
 The render is complete.," A little ostentatious, don't you think?"
 What was I thinking? You're usually so discreet., Tell you what. Throw a little hot-rod red in there.
" Yes, that should help you keep a low profile. The render is complete."," Hey, I like it. Fabricate it. Paint it."
 Commencing automated assembly. Estimated completion time is five hours.," Don't wait up for me, honey."
" Hey, Tony, remember me?"," Sure don't. You look great, Hef."
 We're going to have a great quarter., What's the world coming to when a guy's got to crash his own party?
" Look at you. Hey, what a surprise.", I'll see you inside.
" Hey. Listen, take it slow, all right? I think I got the board right where we want them", You got it. Just cabin fever. I'll just be a minute. Give me a Scotch. I'm starving.
 Mr. Stark?, Yeah?
 Agent Coulson.," Oh, yeah, yeah, yeah. The guy from the.."
" Strategic Homeland Intervention, Enforcement and Logistics Division."," God, you need a new name for that."
" Yeah, I hear that a lot. Listen, I know this must be a trying time for you, but we need to debrief you. There's still a lot of unanswered questions, and time can be a factor with these things.", Let's just put something on the books.
 How about the 24th at 7:00 p.m. at Stark Industries?," Tell you what. You got it. You're absolutely right. Well, I'm going to go to my assistant, and we'll make a date. You look fantastic! I didn't recognize you."
 What are you doing here?, Just avoiding government agents.
 Are you by yourself?, Yes. Where'd you get that dress?
" Oh, it was a birthday present.", That's great.
" From you, actually."," Well, I got great taste."
 Yes., You want to dance?
" Oh, no."," All right, come on."
 Thank you. No., Am I making you uncomfortable?
 No. No. I always forget to wear deodorant and dance with my boss in front of everyone that I work with in a dress with no back., You look great and you smell great.
" Oh, God.", But I could fire you if that would take the edge off.
 I actually don't think that you could tie your shoes without me., I'd make it a week. Sure.
 Really? What's your Social Security number?, Five.
 Five?, Right.
 Right. You're missing just a couple of digits there.," The other eight? So, I got you for the other eight. How about a little air?"
" Yes, I need some air. That was totally weird.", Totally harmless.
" It was totally not harmless, by the way.", We're dancing. No one's even watching.
" Everybody who I work with... No, you know why?", I think you lost objectivity. I think they just... People... We just danced.
" No, it was not just a dance. You don't understand because you're you. And everybody knows exactly who you are and how you are with girls and all of that, which is completely fine. But, you know, then me, you're my boss, and I'm dancing with you.", I don't think it was taken that way.
 Because it makes me look like the one who's trying to..., I just think you're overstating it.
" You know, and we're here, and then I'm wearing this ridiculous dress, and then we were dancing like that and... I would like a drink, please."," Got it, okay."
" I would like a vodka martini, please.", Okay.
" Very dry with olives, a lot of olives. Like, at least three olives."," Two vodka martinis, extra dry, extra olives, extra fast. Make one of them dirty, will you?"
 Wow. Tony.," Oh, hey."
 Fancy seeing you here., Carrie.
 Christine., Carrie.
 Christine., That's right.
 You have a lot of nerve showing up here tonight. Can I at least get a reaction from you?, Panic. I would say panic is my reaction.
 'Cause I was referring to your company's involvement in this latest atrocity, Yeah. They just put my name on the invitation. I don't know what to tell you.
" I actually almost bought it, hook, line and sinker."," I was out of town for a couple months, in case you didn't hear."
 Is this what you call accountability? It's a town called Gulmira. Heard of it?, When were these taken?
 Yesterday., I didn't approve any shipment.
" Well, your company did."," Well, I'm not my company."
" Please, do you mind?", Have you seen these pictures? What's going on in Gulmira?
" Tony, Tony. You can't afford to be this naive."," You know what? I was naive before, when they said, ""Here's the line. We don't cross it. This is how we do business."" If we're double-dealing under the table... Are we?"
" The 15-mile hike to the outskirts of Gulmira can only be described as a descent into hell, into a modern-day Heart of Darkness. Simple farmers and herders from peaceful villages have been driven from their homes, displaced from their lands by warlords emboldened by a new-found power. Villagers have been forced to take shelter in whatever crude dwellings they can find in the ruins of other villages, or here in the remnants of an old Soviet smelting plant. Recent violence has been attributed to a group of foreign fighters referred to by locals as the Ten Rings. As you can see, these men are heavily armed and on a mission. A mission that could prove fatal to anyone who stands in their way. With no political will or international pressure, there's very little hope for these refugees. Around me, a woman begging for news on her husband, who was kidnapped by insurgents, either forced to join their militia. Desperate refugees clutch yellowed photographs, holding them up to anyone who will stop. A child's simple question, ""Where are my mother and father?"" There's very little hope for these refugees, refugees who can only wonder who, if anyone, will help.", He's all yours.
" Sergeant, clear a hole.", Hello?
 Tony?, Who's this?
 It's Rhodes.," Sorry, hello?"
 I said it's Rhodes.," Speak up, please."
 What in the hell is that noise?," Oh, yeah, I'm driving with the top down."
" Yeah, well, I need your help right now."," It's funny how that works, huh?"
" Yeah. Speaking of funny, we've got a weapons depot that was just blown up a few clicks from where you were being held captive."," Well, that's a hot spot. Sounds like someone stepped in and did your job for you, huh?"
" Why do you sound out of breath, Tony?"," I'm not, I was just jogging in the canyon."
 I thought you were driving.," Right, I was driving to the canyon, where I'm going to jog."
 You sure you don't have any tech in that area I should know about?, Nope!
" Okay, good, 'cause I'm staring at one right now, and it's about to be blown to kingdom come.", That's my exit.
 Then you are clear to engage., Hit it.
 Inbound missile., Flares!
iron man, Deploy flaps!
 Hello?," Hi, Rhodey, it's me."
 It's who?," I'm sorry, it is me. You asked. What you were asking about is me."
" No, see, this isn't a game. You do not send civilian equipment into my active war zone. You understand that?", This is not a piece of equipment. I'm in it. It's a suit. It's me!
" Tony, you still there?"," Hey, thanks."
" Oh, my God, you crazy son of a bitch. You owe me a plane. You know that, right?"," Yeah, well, technically, he hit me. Now are you going to come by and see what I'm working on?"
" No, no, no, no, no, no, the less I know, the better. Now, what am I supposed to tell the press?", Training exercise. Isn't that the usual BS?
" It's not that simple. An unfortunate training exercise involving an F-22 Raptor occurred yesterday. I am pleased to report that the pilot was not injured. As for the unexpected turn of events on the ground in Gulmira, it is still unclear who or what intervened, but I can assure you that the United States government was not involved.", Hey!
" It is a tight fit, sir. Sir, the more you struggle, the more this is going to hurt."," Be gentle. This is my first time. I designed this to come off, so... Hey. I really should be able to..."
 What's going on here?, Let's face it. This is not the worst thing you've caught me doing.
"  Set up Sector 16 underneath the arc reactor, and I'm going to want this data masked. Recruit our top engineers. I want a prototype right away."," Hey. You busy? You mind if I send you on an errand? I need you to go to my office. You're going to hack into the mainframe and you're going to retrieve all the recent shipping manifests. This is a lock chip. This'll get you in. It's probably under Executive Files. If not, they put it on a ghost drive, in which case you need to look for the lowest numeric heading."
 And what do you plan to do with this information if I bring it back here?," Same drill. They've been dealing under the table, and I'm going to stop them. I'm going to find my weapons and destroy them."
" Tony, you know that I would help you with anything, but I cannot help you if you're going to start all of this again.", There is nothing except this. There's no art opening. There is no benefit. There is nothing to sign. There is the next mission and nothing else.
" Is that so? Well, then, I quit. "," You stood by my side all these years while I reaped the benefits of destruction. And now that I'm trying to protect the people that I put in harm's way, you're going to walk out?"
" You're going to kill yourself, Tony. I'm not going to be a part of it."," I shouldn't be alive, unless it was for a reason. I'm not crazy, Pepper. I just finally know what I have to do. And I know in my heart that it's right."
"  I don't know. He's not answering his phone. Please go over there and make sure everything's okay. Thank you, Rhodey. I know a shortcut.",  Good boy.
 Tony? Tony? Tony? Tony? Tony! Tony! You okay?, Where's Pepper?
 She's fine. She's with five agents. They're about to arrest Obadiah., That's not going to be enough.
 That's the coolest thing I've ever seen.," Not bad, huh? Let's do it."
 You need me to do anything else?, Keep the skies clear.
