name,response,prompt
Voice over," Tony. Visionary. Genius. American patriot. Even from an early age, the son of legendary weapons developer Howard Stark quickly stole the spotlight with his brilliant and unique mind. At age four, he built his first circuit board. At age six, his first engine. And at 17, he graduated summa cum laude from MIT. Then, the passing of a titan. Howard Stark's lifelong friend and ally, Obadiah Stane, steps in to help fill the gap left by the legendary founder, until, at age 21, the prodigal son returns and is anointed the new CEO of Stark Industries. With the keys to the kingdom, Tony ushers in a new era for his father's legacy, creating smarter weapons, advanced robotics, satellite targeting. Today, Tony has changed the face of the weapons industry by ensuring freedom and protecting America and her interests around the globe.", Whoa!
James Rhodes," As liaison to Stark Industries, I've had the unique privilege of serving with a real patriot. He is my friend and he is my great mentor. Ladies and gentlemen, it is my honor to present this year's Apogee Award to Mr. Tony. Tony?"," Tony. Visionary. Genius. American patriot. Even from an early age, the son of legendary weapons developer Howard Stark quickly stole the spotlight with his brilliant and unique mind. At age four, he built his first circuit board. At age six, his first engine. And at 17, he graduated summa cum laude from MIT. Then, the passing of a titan. Howard Stark's lifelong friend and ally, Obadiah Stane, steps in to help fill the gap left by the legendary founder, until, at age 21, the prodigal son returns and is anointed the new CEO of Stark Industries. With the keys to the kingdom, Tony ushers in a new era for his father's legacy, creating smarter weapons, advanced robotics, satellite targeting. Today, Tony has changed the face of the weapons industry by ensuring freedom and protecting America and her interests around the globe."
Obadiah Stane," Thank you, Colonel."," As liaison to Stark Industries, I've had the unique privilege of serving with a real patriot. He is my friend and he is my great mentor. Ladies and gentlemen, it is my honor to present this year's Apogee Award to Mr. Tony. Tony?"
James Rhodes, Thanks for the save.," Thank you, Colonel."
Obadiah Stane," This is beautiful. Thank you. Thank you all very much. This is wonderful. Well, I'm not Tony. But if I were Tony, I would tell you how honored I feel and what a joy it is to receive this very prestigious award. Tony, you know...The best thing about Tony is also the worst thing. He's always working.", Thanks for the save.
Tony, Work it! Come on! We should just stay till the morning.," This is beautiful. Thank you. Thank you all very much. This is wonderful. Well, I'm not Tony. But if I were Tony, I would tell you how honored I feel and what a joy it is to receive this very prestigious award. Tony, you know...The best thing about Tony is also the worst thing. He's always working."
James Rhodes, You are unbelievable., Work it! Come on! We should just stay till the morning.
Tony," Oh, no! Did they rope you into this?", You are unbelievable.
James Rhodes, Nobody roped me into anything!," Oh, no! Did they rope you into this?"
Tony, I'm so sorry., Nobody roped me into anything!
James Rhodes," But they told me that if I presented you with an award, you'd be deeply honored.", I'm so sorry.
Tony," Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"," But they told me that if I presented you with an award, you'd be deeply honored."
James Rhodes, It's right here. Here you go.," Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"
Tony, There it is. That was easy. I'm so sorry., It's right here. Here you go.
James Rhodes," Yeah, it's okay.", There it is. That was easy. I'm so sorry.
Tony," Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something.  Okay, you, too. "," Yeah, it's okay."
James Rhodes, I don't blow on a man's dice.," Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something.  Okay, you, too. "
Tony," Come on, honey bear.", I don't blow on a man's dice.
James Rhodes, I don't blow on a man's dice. ," Come on, honey bear."
Tony, There it is. Lieutenant Colonel Rhodes rolls! And..., I don't blow on a man's dice. 
Dealer, Two craps. Line away., There it is. Lieutenant Colonel Rhodes rolls! And...
James Rhodes, That's what happens., Two craps. Line away.
Tony," Worse things have happened. I think we're gonna be fine. Color me up, will ya?", That's what happens.
James Rhodes, This is where I exit.," Worse things have happened. I think we're gonna be fine. Color me up, will ya?"
Tony, All right., This is where I exit.
James Rhodes," Tomorrow, don't be late.", All right.
Tony," Yeah, you can count on it."," Tomorrow, don't be late."
James Rhodes, I'm serious!," Yeah, you can count on it."
Tony," I know, I know.  Render unto Caesar, that which is Caesar's. There you go.", I'm serious!
Christine Everhart," Mr. Stark! Excuse me, Mr. Stark! Christine Everhart, Vanity Fair magazine. Can I ask you a couple of questions?"," I know, I know.  Render unto Caesar, that which is Caesar's. There you go."
Happy Hogan,  She's cute.," Mr. Stark! Excuse me, Mr. Stark! Christine Everhart, Vanity Fair magazine. Can I ask you a couple of questions?"
Tony, She's all right?  Hi.,  She's cute.
Christine Everhart, Hi., She's all right?  Hi.
Tony, Yeah. Okay--, Hi.
Christine Everhart, It's okay?, Yeah. Okay--
Tony, Go., It's okay?
Christine Everhart, You've been called the da Vinci of our time. What do you say to that?, Go.
Tony, Absolutely ridiculous. I don't paint., You've been called the da Vinci of our time. What do you say to that?
Christine Everhart," And what do you say to your other nickname? ""The Merchant of Death""?", Absolutely ridiculous. I don't paint.
Tony, That's not bad. Let me guess. Berkeley?," And what do you say to your other nickname? ""The Merchant of Death""?"
Christine Everhart," Brown, actually.", That's not bad. Let me guess. Berkeley?
Tony," Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."," Brown, actually."
Christine Everhart, You rehearse that much?," Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."
Tony, Every night in front of the mirror before bedtime., You rehearse that much?
Christine Everhart, I can see that., Every night in front of the mirror before bedtime.
Tony, I'd like to show you first-hand., I can see that.
Christine Everhart, All I want is a serious answer., I'd like to show you first-hand.
Tony," Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy.""", All I want is a serious answer.
Christine Everhart, That's a great line coming from the guy selling the sticks.," Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy."""
Tony," My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero.", That's a great line coming from the guy selling the sticks.
Christine Everhart, And a lot of people would also call that war profiteering.," My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero."
Tony," Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey.", And a lot of people would also call that war profiteering.
Christine Everhart, You ever lose an hour of sleep your whole life?," Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey."
Tony, I'd be prepared to lose a few with you., You ever lose an hour of sleep your whole life?
JARVIS, Good morning. It's 7:00 a.m. The weather in Malibu is 72 degrees with scattered clouds. The surf conditions are fair with waist-to-shoulder high lines. High tide will be at 10:52 a.m., I'd be prepared to lose a few with you.
Christine Everhart,"  Tony? Hey, Tony? ", Good morning. It's 7:00 a.m. The weather in Malibu is 72 degrees with scattered clouds. The surf conditions are fair with waist-to-shoulder high lines. High tide will be at 10:52 a.m.
JARVIS, You are not authorized to access this area.,"  Tony? Hey, Tony? "
Christine Everhart, Jesus., You are not authorized to access this area.
Pepper Potts," That's JARVIS. He runs the house. I've got your clothes here. They've been dry-cleaned and pressed, and there's a car waiting for you outside that will take you anywhere you'd like to go.", Jesus.
Christine Everhart, You must be the famous Pepper Potts.," That's JARVIS. He runs the house. I've got your clothes here. They've been dry-cleaned and pressed, and there's a car waiting for you outside that will take you anywhere you'd like to go."
Pepper Potts, Indeed I am., You must be the famous Pepper Potts.
Christine Everhart," After all these years, Tony still has you picking up the dry-cleaning.", Indeed I am.
Pepper Potts," I do anything and everything that Mr. Stark requires, including, occasionally, taking out the trash. Will that be all?"," After all these years, Tony still has you picking up the dry-cleaning."
Tony, Give me an exploded view.," I do anything and everything that Mr. Stark requires, including, occasionally, taking out the trash. Will that be all?"
JARVIS, The compression in cylinder three appears to be low., Give me an exploded view.
Tony, Log that., The compression in cylinder three appears to be low.
Pepper Potts,"  I'm gonna try again, right now.", Log that.
Tony, Please don't turn down my music.,"  I'm gonna try again, right now."
Pepper Potts, I'll keep you posted.  You are supposed to be halfway around the world right now., Please don't turn down my music.
Tony, How'd she take it?, I'll keep you posted.  You are supposed to be halfway around the world right now.
Pepper Potts, Like a champ., How'd she take it?
Tony, Why are you trying to hustle me out of here?, Like a champ.
Pepper Potts, Your flight was scheduled to leave an hour and a half ago., Why are you trying to hustle me out of here?
Tony," That's funny, I thought with it being my plane and all, that it would just wait for me to get there.", Your flight was scheduled to leave an hour and a half ago.
Pepper Potts," Tony, I need to speak to you about a couple things before I get you out of the door."," That's funny, I thought with it being my plane and all, that it would just wait for me to get there."
Tony," I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"," Tony, I need to speak to you about a couple things before I get you out of the door."
Pepper Potts, Larry called. He's got another buyer for the Jackson Pollock in the wings. Do you want it? Yes or no.," I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"
Tony, Is it a good representation of his spring period?, Larry called. He's got another buyer for the Jackson Pollock in the wings. Do you want it? Yes or no.
Pepper Potts," Um, no. The Springs was actually the neighborhood in East Hampton where he lived and worked--", Is it a good representation of his spring period?
Tony, So?," Um, no. The Springs was actually the neighborhood in East Hampton where he lived and worked--"
Pepper Potts," --not ""spring"" like the season. I think it's a fair example. Um.. I think it's incredibly overpriced.", So?
Tony, I need it. Buy it. Store it.," --not ""spring"" like the season. I think it's a fair example. Um.. I think it's incredibly overpriced."
Pepper Potts, Okay. The MIT commencement speech..., I need it. Buy it. Store it.
Tony," Is in June. Please, don't harangue me about stuff that's way, way, down...", Okay. The MIT commencement speech...
Pepper Potts," Well, they're haranguing me, so I'm gonna say yes."," Is in June. Please, don't harangue me about stuff that's way, way, down..."
Tony, Deflect it and absorb it. Don't transmit it back to me.," Well, they're haranguing me, so I'm gonna say yes."
Pepper Potts, I need you to sign this before you get on the plane., Deflect it and absorb it. Don't transmit it back to me.
Tony," What are you trying to get rid of me for? What, you got plans?", I need you to sign this before you get on the plane.
Pepper Potts," As a matter of fact, I do."," What are you trying to get rid of me for? What, you got plans?"
Tony, I don't like it when you have plans.," As a matter of fact, I do."
Pepper Potts, I'm allowed to have plans on my birthday., I don't like it when you have plans.
Tony, It's your birthday?, I'm allowed to have plans on my birthday.
Pepper Potts, Yes., It's your birthday?
Tony, I knew that. Already?, Yes.
Pepper Potts, Yeah. Isn't that strange? It's the same day as last year., I knew that. Already?
Tony," Well, get yourself something nice from me.", Yeah. Isn't that strange? It's the same day as last year.
Pepper Potts, I already did.," Well, get yourself something nice from me."
Tony, And?, I already did.
Pepper Potts," Oh, it was very nice.", And?
Tony, Yeah.," Oh, it was very nice."
Pepper Potts," Very tasteful. Thank you, Mr. Stark.", Yeah.
Tony," You're welcome, Miss Potts... Okay."," Very tasteful. Thank you, Mr. Stark."
Tony, You're good. I thought I lost you back there.,<<NO PROMPT>>
Happy," You did, sir.  I had to cut across Mulholland.", You're good. I thought I lost you back there.
Tony, I got you. I got you.," You did, sir.  I had to cut across Mulholland."
James Rhodes, What's wrong with you? , I got you. I got you.
Tony, What?, What's wrong with you? 
James Rhodes, Three hours., What?
Tony, I got caught doing a piece for Vanity Fair., Three hours.
James Rhodes, For three hours. For three hours you got me standing here., I got caught doing a piece for Vanity Fair.
Tony, Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!, For three hours. For three hours you got me standing here.
Tony," What you reading, platypus?",<<NO PROMPT>>
James Rhodes, Nothing.," What you reading, platypus?"
Tony," Come on, sour patch.", Nothing.
James Rhodes, I'm not sour.," Come on, sour patch."
Tony, Don't be mad., I'm not sour.
James Rhodes," I told you, I'm not mad. I'm indifferent, okay?", Don't be mad.
Tony, I said I was sorry.," I told you, I'm not mad. I'm indifferent, okay?"
James Rhodes, You don't need to apologize to me., I said I was sorry.
Tony, I told you I was sorry., You don't need to apologize to me.
James Rhodes, I'm your man., I told you I was sorry.
Tony," Hi. I told him I was sorry, but he...", I'm your man.
James Rhodes, I'm just indifferent right now.," Hi. I told him I was sorry, but he..."
James Rhodes," You don't respect yourself, so I know you don't respect me.",<<NO PROMPT>>
Tony, I respect you.," You don't respect yourself, so I know you don't respect me."
James Rhodes," I'm just your babysitter. So, when you need your diaper changed...  Thank you. Let me know and I'll get you a bottle, okay?", I respect you.
Tony," Hey! Heat up the sake, will you? Thanks for reminding me."," I'm just your babysitter. So, when you need your diaper changed...  Thank you. Let me know and I'll get you a bottle, okay?"
James Rhodes," No, I'm not talking... We're not drinking. We're working right now."," Hey! Heat up the sake, will you? Thanks for reminding me."
Tony, You can't have sashimi without sake.," No, I'm not talking... We're not drinking. We're working right now."
James Rhodes, You are constitutionally incapable of being responsible., You can't have sashimi without sake.
Tony, It would be irresponsible not to drink. I'm just talking about a nightcap., You are constitutionally incapable of being responsible.
Tony," Yes, two, please.",<<NO PROMPT>>
James Rhodes, No. Just-- I'm not drinking. I don't want any.," Yes, two, please."
James Rhodes," That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!",<<NO PROMPT>>
Tony," Hey, you know what? I'm not like you. I'm not cut out..."," That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!"
James Rhodes," No, no. You don't have to be like me! But you're more than what you are."," Hey, you know what? I'm not like you. I'm not cut out..."
Tony, Can you excuse me if I'm a bit distracted here?," No, no. You don't have to be like me! But you're more than what you are."
James Rhodes, No! You can't be distracted right now! Listen to me!, Can you excuse me if I'm a bit distracted here?
Tony, General., No! You can't be distracted right now! Listen to me!
General," Welcome, Mr. Stark. We look forward to your weapons presentation.", General.
Tony, Thanks.," Welcome, Mr. Stark. We look forward to your weapons presentation."
Tony," Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves.  For your consideration, the Jericho. ",<<NO PROMPT>>
Tony, I'll be throwing one of these in with every purchase of 500 million or more. To peace! ,<<NO PROMPT>>
Obadiah Stane,  Tony., I'll be throwing one of these in with every purchase of 500 million or more. To peace! 
Tony," Obie, what are you doing up?",  Tony.
Obadiah Stane, I couldn't sleep till I found out how it went. How'd it go?," Obie, what are you doing up?"
Tony, It went great. Looks like it's gonna be an early Christmas., I couldn't sleep till I found out how it went. How'd it go?
Obadiah Stane," Hey! Way to go, my boy! I'll see you tomorrow, yeah?", It went great. Looks like it's gonna be an early Christmas.
Tony, Why aren't you wearing those pajamas I got you?," Hey! Way to go, my boy! I'll see you tomorrow, yeah?"
Obadiah Stane," Good night, Tony. ", Why aren't you wearing those pajamas I got you?
James Rhodes," Hey, Tony. "," Good night, Tony. "
Tony," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."," Hey, Tony. "
James Rhodes, Nice job.," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."
Tony, See you back at base., Nice job.
Yinsen, I wouldn't do that if I were you., See you back at base.
Tony, What the hell did you do to me?, I wouldn't do that if I were you.
Yinsen," What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see?  I have a souvenir. Take a look.  I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs.", What the hell did you do to me?
Tony, What is this?," What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see?  I have a souvenir. Take a look.  I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs."
Yinsen," That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm?  That's right. Smile. We met once, you know, at a technical conference in Bern.", What is this?
Tony, I don't remember.," That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm?  That's right. Smile. We met once, you know, at a technical conference in Bern."
Yinsen," No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits.", I don't remember.
Tony, Where are we?," No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits."
Yinsen," Come on, stand up. Stand up! Just do as I do. Come on, put your hands up.", Where are we?
Tony, Those are my guns. How did they get my guns?," Come on, stand up. Stand up! Just do as I do. Come on, put your hands up."
Yinsen," Do you understand me? Do as I do.  He says, ""Welcome, Tony, the most famous mass murderer ""in the history of America.""  He is honored.  He wants you to build the missile.  The Jericho missile that you demonstrated.  This one.", Those are my guns. How did they get my guns?
Tony, I refuse. ," Do you understand me? Do as I do.  He says, ""Welcome, Tony, the most famous mass murderer ""in the history of America.""  He is honored.  He wants you to build the missile.  The Jericho missile that you demonstrated.  This one."
Pepper Potts, Tony! , I refuse. 
Yinsen, He wants to know what you think., Tony! 
Tony, I think you got a lot of my weapons., He wants to know what you think.
Yinsen," He says they have everything you need to build the Jericho missile. He wants you to make the list of materials.  He says for you to start working immediately, and when you're done, he will set you free.", I think you got a lot of my weapons.
Tony," No, he won't. "," He says they have everything you need to build the Jericho missile. He wants you to make the list of materials.  He says for you to start working immediately, and when you're done, he will set you free."
Yinsen," No, he won't."," No, he won't. "
Yinsen,"  I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony? Or are you going to do something about it?",<<NO PROMPT>>
Tony," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week.","  I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony? Or are you going to do something about it?"
Yinsen," Well, then, this is a very important week for you, isn't it? Hm?"," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week."
Tony,"  If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools.  How many languages do you speak?"," Well, then, this is a very important week for you, isn't it? Hm?"
Yinsen," A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian.","  If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools.  How many languages do you speak?"
Tony, Who are these people?," A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian."
Yinsen," They are your loyal customers, sir. They call themselves the Ten Rings.  You know, we might be more productive if you include me in the planning process.", Who are these people?
Tony," Uh-huh.  Okay, we don't need this."," They are your loyal customers, sir. They call themselves the Ten Rings.  You know, we might be more productive if you include me in the planning process."
Yinsen, What is that?," Uh-huh.  Okay, we don't need this."
Tony," That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?", What is that?
Tony," Careful. Careful, we only get one shot at this.",<<NO PROMPT>>
Yinsen, Relax. I have steady hands. Why do you think you're still alive?," Careful. Careful, we only get one shot at this."
Tony, What do I call you?, Relax. I have steady hands. Why do you think you're still alive?
Yinsen, My name is Yinsen., What do I call you?
Tony, Yinsen. Nice to meet you., My name is Yinsen.
Yinsen," Nice to meet you, too.  Whoa. That doesn't look like a Jericho missile.", Yinsen. Nice to meet you.
Tony, That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.," Nice to meet you, too.  Whoa. That doesn't look like a Jericho missile."
Yinsen, But what could it generate?, That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.
Tony," If my math is right, and it always is, three gigajoules per second.", But what could it generate?
Yinsen, That could run your heart for 50 lifetimes.," If my math is right, and it always is, three gigajoules per second."
Tony, Yeah. Or something big for 15 minutes., That could run your heart for 50 lifetimes.
Tony,  This is our ticket out of here.,<<NO PROMPT>>
Yinsen, What is it?,  This is our ticket out of here.
Tony, Flatten them out and look. , What is it?
Yinsen," Oh, wow. Impressive.", Flatten them out and look. 
Yinsen, Good. Good roll. Good roll.,<<NO PROMPT>>
Tony, You still haven't told me where you're from., Good. Good roll. Good roll.
Yinsen, I'm from a small town called Gulmira. It's actually a nice place., You still haven't told me where you're from.
Tony, Got a family?, I'm from a small town called Gulmira. It's actually a nice place.
Yinsen," Yes, and I will see them when I leave here. And you, Stark?", Got a family?
Tony, No.," Yes, and I will see them when I leave here. And you, Stark?"
Yinsen, No? So you're a man who has everything and nothing., No.
Raza," Relax.  The bow and arrow once was the pinnacle of weapons technology. It allowed the great Genghis Khan to rule from the Pacific to the Ukraine. An empire twice the size of Alexander the Great and four times the size of the Roman Empire. But today, whoever holds the latest Stark weapons rules these lands. And soon, it will be my turn.  Why have you failed me?", No? So you're a man who has everything and nothing.
Yinsen, We're working. Diligently. ," Relax.  The bow and arrow once was the pinnacle of weapons technology. It allowed the great Genghis Khan to rule from the Pacific to the Ukraine. An empire twice the size of Alexander the Great and four times the size of the Roman Empire. But today, whoever holds the latest Stark weapons rules these lands. And soon, it will be my turn.  Why have you failed me?"
Raza,  I let you live. This is how you repay me? , We're working. Diligently. 
Yinsen, It's very complex. He's trying very hard. ,  I let you live. This is how you repay me? 
Raza, On his knees.  You think I'm a fool? I'll get the truth. , It's very complex. He's trying very hard. 
Yinsen, We're both working. , On his knees.  You think I'm a fool? I'll get the truth. 
Raza, Open your mouth. , We're both working. 
Tony, What does he want?, Open your mouth. 
Raza, You think I'm a fool? What's going on? Tell me the truth. , What does he want?
Yinsen, He's building your Jericho. He's building your Jericho. , You think I'm a fool? What's going on? Tell me the truth. 
Tony, What do you want? A delivery date?  I need him. Good assistant., He's building your Jericho. He's building your Jericho. 
Raza, You have till tomorrow to assemble my missile., What do you want? A delivery date?  I need him. Good assistant.
Yinsen," Okay? Can you move? Okay, say it again.", You have till tomorrow to assemble my missile.
Tony," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."," Okay? Can you move? Okay, say it again."
Raza, Where is Stark? ," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."
Man, He was here a moment ago. , Where is Stark? 
Raza, Go look for him. , He was here a moment ago. 
Man, Yinsen! Yinsen! Stark!, Go look for him. 
Tony, Say something. Say something back to him., Yinsen! Yinsen! Stark!
Yinsen, He's speaking Hungarian. I don't..., Say something. Say something back to him.
Tony, Then speak Hungarian., He's speaking Hungarian. I don't...
Yinsen, Okay. I know., Then speak Hungarian.
Tony, What do you know?, Okay. I know.
Tony, How'd that work?,<<NO PROMPT>>
Yinsen," Oh, my goodness. It worked all right.", How'd that work?
Tony, That's what I do.," Oh, my goodness. It worked all right."
Yinsen, Let me finish this., That's what I do.
Tony, Initialize the power sequence., Let me finish this.
Yinsen, Okay., Initialize the power sequence.
Tony, Now!, Okay.
Yinsen, Tell me. Tell me., Now!
Tony, Function 11. Tell me when you see a progress bar. It should be up right now., Tell me. Tell me.
Yinsen, Yes., Function 11. Tell me when you see a progress bar. It should be up right now.
Tony, Talk to me. Tell me when you see it., Yes.
Yinsen, I have it., Talk to me. Tell me when you see it.
Tony," Press Control ""l"".", I have it.
Yinsen," ""I."""," Press Control ""l""."
Tony," ""I."" ""Enter."""," ""I."""
Yinsen, Got it.," ""I."" ""Enter."""
Tony," ""l"" and ""Enter."" Come over here and button me up.", Got it.
Yinsen, Okay. All right.," ""l"" and ""Enter."" Come over here and button me up."
Tony, Every other hex bolt., Okay. All right.
Yinsen, They're coming!, Every other hex bolt.
Tony," Nothing pretty, just get it done. Just get it done.", They're coming!
Yinsen, They're coming.," Nothing pretty, just get it done. Just get it done."
Tony," Make sure the checkpoints are clear before you follow me out, okay?", They're coming.
Yinsen," We need more time. Hey, I'm gonna go buy you some time."," Make sure the checkpoints are clear before you follow me out, okay?"
Tony, Stick to the plan! Stick to the plan!  Yinsen! Yinsen!," We need more time. Hey, I'm gonna go buy you some time."
Tony, Yinsen!,<<NO PROMPT>>
Yinsen, Watch out!  Stark., Yinsen!
Tony," Come on.  We got to go. Move for me, come on. We got a plan. We're gonna stick to it.", Watch out!  Stark.
Yinsen," This was always the plan, Stark."," Come on.  We got to go. Move for me, come on. We got a plan. We're gonna stick to it."
Tony," Come on, you're gonna go see your family. Get up."," This was always the plan, Stark."
Yinsen," My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this."," Come on, you're gonna go see your family. Get up."
Tony, Thank you for saving me.," My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this."
Yinsen, Don't waste it. Don't waste your life., Thank you for saving me.
Tony, My turn.  Not bad., Don't waste it. Don't waste your life.
Tony, Hey!  Hey!,<<NO PROMPT>>
James Rhodes," How was the ""fun-vee""? Next time, you ride with me, okay?", Hey!  Hey!
James Rhodes," Watch it, coming up here.",<<NO PROMPT>>
Tony, Are you kidding me with this? Get rid of them.  Your eyes are red. A few tears for your long-lost boss?," Watch it, coming up here."
Pepper Potts, Tears of joy. I hate job hunting., Are you kidding me with this? Get rid of them.  Your eyes are red. A few tears for your long-lost boss?
Tony," Yeah, vacation's over.", Tears of joy. I hate job hunting.
Happy," Where to, sir?"," Yeah, vacation's over."
Pepper Potts," Take us to the hospital, please, Happy."," Where to, sir?"
Tony, No.," Take us to the hospital, please, Happy."
Pepper Potts," No? Tony, you have to go to the hospital.", No.
Tony, No is a complete answer.," No? Tony, you have to go to the hospital."
Pepper Potts, The doctor has to look at you., No is a complete answer.
Tony," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other...", The doctor has to look at you.
Pepper Potts, That's enough of that.," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other..."
Tony, ...is not what you think. I want you to call for a press conference now., That's enough of that.
