name,line
Pepper Potts, I'll keep you posted. [Getting off the phone.] You are supposed to be halfway around the world right now.
Tony, How'd she take it?
Pepper Potts, Like a champ.
Tony, Why are you trying to hustle me out of here?
Pepper Potts, Your flight was scheduled to leave an hour and a half ago.
Tony," That's funny, I thought with it being my plane and all, that it would just wait for me to get there."
Pepper Potts," Tony, I need to speak to you about a couple things before I get you out of the door."
Tony," I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"
Pepper Potts, Larry called. He's got another buyer for the Jackson Pollock in the wings. Do you want it? Yes or no.
Tony, Is it a good representation of his spring period?
Pepper Potts," Um, no. The Springs was actually the neighborhood in East Hampton where he lived and worked--"
Tony, So?
Pepper Potts," --not ""spring"" like the season. I think it's a fair example. Um.. I think it's incredibly overpriced."
Tony, I need it. Buy it. Store it.
Pepper Potts, Okay. The MIT commencement speech...
Tony," Is in June. Please, don't harangue me about stuff that's way, way, down..."
Pepper Potts," Well, they're haranguing me, so I'm gonna say yes."
Tony, Deflect it and absorb it. Don't transmit it back to me.
Pepper Potts, I need you to sign this before you get on the plane.
Tony," What are you trying to get rid of me for? What, you got plans?"
Pepper Potts," As a matter of fact, I do."
Tony, I don't like it when you have plans.
Pepper Potts, I'm allowed to have plans on my birthday.
Tony, It's your birthday?
Pepper Potts, Yes.
Tony, I knew that. Already?
Pepper Potts, Yeah. Isn't that strange? It's the same day as last year.
Tony," Well, get yourself something nice from me."
Pepper Potts, I already did.
Tony, And?
Pepper Potts," Oh, it was very nice."
Tony, Yeah.
Pepper Potts," Very tasteful. Thank you, Mr. Stark."
Tony," You're welcome, Miss Potts... Okay."
Tony, You're good. I thought I lost you back there.
Happy," You did, sir. [Grabbing Tony's things from the trunk.] I had to cut across Mulholland."
Tony, I got you. I got you.
James Rhodes, What's wrong with you? [Standing at the jet doorway.]
Tony, What?
James Rhodes, Three hours.
Tony, I got caught doing a piece for Vanity Fair.
James Rhodes, For three hours. For three hours you got me standing here.
Tony, Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!
Tony," What you reading, platypus?"
James Rhodes, Nothing.
Tony," Come on, sour patch."
James Rhodes, I'm not sour.
Tony, Don't be mad.
James Rhodes," I told you, I'm not mad. I'm indifferent, okay?"
Tony, I said I was sorry.
James Rhodes, You don't need to apologize to me.
Tony, I told you I was sorry.
James Rhodes, I'm your man.
Tony," Hi. I told him I was sorry, but he..."
James Rhodes, I'm just indifferent right now.
James Rhodes," You don't respect yourself, so I know you don't respect me."
Tony, I respect you.
James Rhodes," I'm just your babysitter. So, when you need your diaper changed... [grabs a hot towel] Thank you. Let me know and I'll get you a bottle, okay?"
Tony," Hey! Heat up the sake, will you? Thanks for reminding me."
James Rhodes," No, I'm not talking... We're not drinking. We're working right now."
Tony, You can't have sashimi without sake.
James Rhodes, You are constitutionally incapable of being responsible.
Tony, It would be irresponsible not to drink. I'm just talking about a nightcap.
Tony," Yes, two, please."
James Rhodes, No. Just-- I'm not drinking. I don't want any.
James Rhodes," That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!"
Tony," Hey, you know what? I'm not like you. I'm not cut out..."
James Rhodes," No, no. You don't have to be like me! But you're more than what you are."
Tony, Can you excuse me if I'm a bit distracted here?
James Rhodes, No! You can't be distracted right now! Listen to me!
Tony, General.
General," Welcome, Mr. Stark. We look forward to your weapons presentation."
Tony, Thanks.
Tony," Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves. [The missiles get launched.] For your consideration, the Jericho. [The missiles explode]"
Tony, [Opening a cooler full of alcohol]I'll be throwing one of these in with every purchase of 500 million or more. To peace! [Tony's phone begins ringing.]
Obadiah Stane, [through the video chat] Tony.
Tony," Obie, what are you doing up?"
Obadiah Stane, I couldn't sleep till I found out how it went. How'd it go?
Tony, It went great. Looks like it's gonna be an early Christmas.
Obadiah Stane," Hey! Way to go, my boy! I'll see you tomorrow, yeah?"
Tony, Why aren't you wearing those pajamas I got you?
Obadiah Stane," Good night, Tony. [Tony hangs up the call as he enters the military vehicle.]"
James Rhodes," Hey, Tony. [Coming up to the vehicle Tony's in.]"
Tony," I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."
James Rhodes, Nice job.
Tony, See you back at base.
Yinsen, I wouldn't do that if I were you.
Tony, What the hell did you do to me?
Yinsen," What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see? [Pulls out a bottle of shrapnel.] I have a souvenir. Take a look. [Tosses the bottle to Tony] I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs."
Tony, What is this?
Yinsen," That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm? [Tony sips up the jacket he's wearing and looks at the camera on the ceiling.] That's right. Smile. We met once, you know, at a technical conference in Bern."
Tony, I don't remember.
Yinsen," No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits."
Tony, Where are we?
Yinsen," Come on, stand up. Stand up! Just do as I do. Come on, put your hands up."
Tony, Those are my guns. How did they get my guns?
Yinsen," Do you understand me? Do as I do. [A man starts speaking in Arabic. Yinsen translates for him.] He says, ""Welcome, Tony, the most famous mass murderer ""in the history of America."" [Man speaks in Arabic.] He is honored. [Man speaks in Arabic.] He wants you to build the missile. [Man speaks in Arabic.] The Jericho missile that you demonstrated. [Man speaks in Arabic, handing Yinsen a picture of the Jericho missile.] This one."
Tony, I refuse. [Tony then is shown with his head in a large thing of water. Flashes of himself and the electromagnet in his chest are shown.]
Pepper Potts, Tony! [As a voice in his head as he tries not to drown.]
Yinsen, He wants to know what you think.
Tony, I think you got a lot of my weapons.
Yinsen," He says they have everything you need to build the Jericho missile. He wants you to make the list of materials. [Man speaks Arabic again] He says for you to start working immediately, and when you're done, he will set you free."
Tony," No, he won't. [Shaking the Arabic man's hand.]"
Yinsen," No, he won't."
Yinsen," [Tony sitting around a small fire in the cave with Tony] I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony? Or are you going to do something about it?"
Tony," Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week."
Yinsen," Well, then, this is a very important week for you, isn't it? Hm?"
Tony," [Directing the men to where to put things while Yinsen's translating] If this is going to be my work station, I want it well-lit. I want these up. I need welding gear. I don't care if it's acetylene or propane. I need a soldering station. I need helmets. I'm gonna need goggles. I would like a smelting cup. I need two sets of precision tools. [Yinsen and Tony start taking apart the weapons.] How many languages do you speak?"
Yinsen," A lot. But apparently, not enough for this place. They speak Arabic, Urdu, Dari, Pashto, Mongolian, Farsi, Russian."
Tony, Who are these people?
Yinsen," They are your loyal customers, sir. They call themselves the Ten Rings. [The men of the Ten Rings are shown watching Tony and Yinsen work on a TV.] You know, we might be more productive if you include me in the planning process."
Tony," Uh-huh. [Tony pulls apart a missile.] Okay, we don't need this."
Yinsen, What is that?
Tony," That's palladium, 0.15 grams. We need at least 1.6, so why don't you go break down the other 11?"
Tony," Careful. Careful, we only get one shot at this."
Yinsen, Relax. I have steady hands. Why do you think you're still alive?
Tony, What do I call you?
Yinsen, My name is Yinsen.
Tony, Yinsen. Nice to meet you.
Yinsen," Nice to meet you, too. [Tony puts together a device while Yinsen watches.] Whoa. That doesn't look like a Jericho missile."
Tony, That's because it's a miniaturized arc reactor. I got a big one powering my factory at home. It should keep the shrapnel out of my heart.
Yinsen, But what could it generate?
Tony," If my math is right, and it always is, three gigajoules per second."
Yinsen, That could run your heart for 50 lifetimes.
Tony, Yeah. Or something big for 15 minutes.
Tony, [Looking at sheets of paper with Tony] This is our ticket out of here.
Yinsen, What is it?
Tony, Flatten them out and look. [Yinsen flattens the sheets out to see a drawing of a metal suit.]
Yinsen," Oh, wow. Impressive."
Yinsen, Good. Good roll. Good roll.
Tony, You still haven't told me where you're from.
Yinsen, I'm from a small town called Gulmira. It's actually a nice place.
Tony, Got a family?
Yinsen," Yes, and I will see them when I leave here. And you, Stark?"
Tony, No.
Yinsen, No? So you're a man who has everything and nothing.
Raza," Relax. [Motioning for the two men to remove their hands from above their heads. They do so as Raza comes up and inspects Tony's arc reactor.] The bow and arrow once was the pinnacle of weapons technology. It allowed the great Genghis Khan to rule from the Pacific to the Ukraine. An empire twice the size of Alexander the Great and four times the size of the Roman Empire. But today, whoever holds the latest Stark weapons rules these lands. And soon, it will be my turn. [Starts speaking in Urdu as he stares down Tony.] Why have you failed me?"
Yinsen, We're working. Diligently. [Speaking in Urdu.]
Raza, [Turns and walks toward Yinsen.] I let you live. This is how you repay me? [Speaking in Urdu.]
Yinsen, It's very complex. He's trying very hard. [Speaking in Urdu.]
Raza, On his knees. [He commands his men in Urdu. Yinsen is forced to his knees.] You think I'm a fool? I'll get the truth. [Speaking in Urdu as he takes a coal from the dying fire.]
Yinsen, We're both working. [Speaking in Urdu.]
Raza, Open your mouth. [Speaking in Urdu.]
Tony, What does he want?
Raza, You think I'm a fool? What's going on? Tell me the truth. [Speaking in Urdu. Raza forces Yinsen's head to lay on the table.]
Yinsen, He's building your Jericho. He's building your Jericho. [Speaking in Urdu.]
Tony, What do you want? A delivery date? [Tony tries to go towards Raza and Yinsen but the other men pull their guns on him.] I need him. Good assistant.
Raza, You have till tomorrow to assemble my missile.
Yinsen," Okay? Can you move? Okay, say it again."
Tony," 41 steps straight ahead. Then 16 steps, that's from the door, fork right, 33 steps, turn right."
Raza, Where is Stark? [Speaking Arabic]
Man, He was here a moment ago. [Speaking Arabic]
Raza, Go look for him. [Speaking Arabic]
Man, Yinsen! Yinsen! Stark!
Tony, Say something. Say something back to him.
Yinsen, He's speaking Hungarian. I don't...
Tony, Then speak Hungarian.
Yinsen, Okay. I know.
Tony, What do you know?
Tony, How'd that work?
Yinsen," Oh, my goodness. It worked all right."
Tony, That's what I do.
Yinsen, Let me finish this.
Tony, Initialize the power sequence.
Yinsen, Okay.
Tony, Now!
Yinsen, Tell me. Tell me.
Tony, Function 11. Tell me when you see a progress bar. It should be up right now.
Yinsen, Yes.
Tony, Talk to me. Tell me when you see it.
Yinsen, I have it.
Tony," Press Control ""l""."
Yinsen," ""I."""
Tony," ""I."" ""Enter."""
Yinsen, Got it.
Tony," ""l"" and ""Enter."" Come over here and button me up."
Yinsen, Okay. All right.
Tony, Every other hex bolt.
Yinsen, They're coming!
Tony," Nothing pretty, just get it done. Just get it done."
Yinsen, They're coming.
Tony," Make sure the checkpoints are clear before you follow me out, okay?"
Yinsen," We need more time. Hey, I'm gonna go buy you some time."
Tony, Stick to the plan! Stick to the plan! [Yinsen runs out of the cave with a gun from one of the dead men.] Yinsen! Yinsen!
Tony, Yinsen!
Yinsen," Watch out! [Raza tries to shoot at Tony but misses. Tony shoots back, hitting the wall behind Raza, causing a mini explosion and knocking Raza out.] Stark."
Tony," Come on. [Tony opens is helmet.] We got to go. Move for me, come on. We got a plan. We're gonna stick to it."
Yinsen," This was always the plan, Stark."
Tony," Come on, you're gonna go see your family. Get up."
Yinsen," My family is dead. I'm going to see them now, Stark. It's okay. I want this. I want this."
Tony, Thank you for saving me.
Yinsen, Don't waste it. Don't waste your life.
Tony," My turn. [Tony shoots fire at the men and their camp from his suit. The men continue to shoot at Tony, beginning to cause damage to the suit. Tony flips a suit and shoots up in the air. He screams as he falls into the sand on the other side of the mountains. The suit breaks when he lands.] Not bad."
Tony, Hey! [Waving down the helicopters.] Hey!
James Rhodes," How was the ""fun-vee""? Next time, you ride with me, okay?"
James Rhodes," Watch it, coming up here."
Tony, Are you kidding me with this? Get rid of them. [Tony walks up to Pepper.] Your eyes are red. A few tears for your long-lost boss?
Pepper Potts, Tears of joy. I hate job hunting.
Tony," Yeah, vacation's over."
Happy," Where to, sir?"
Pepper Potts," Take us to the hospital, please, Happy."
Tony, No.
Pepper Potts," No? Tony, you have to go to the hospital."
Tony, No is a complete answer.
Pepper Potts, The doctor has to look at you.
Tony," I don't have to do anything. I've been in captivity for three months. There are two things I want to do. I want an American cheeseburger, and the other..."
Pepper Potts, That's enough of that.
Tony, ...is not what you think. I want you to call for a press conference now.
Pepper Potts, Call for a press conference?
Tony, Yeah.
Pepper Potts, What on earth for?
Tony," Hogan, drive. Cheeseburger first."
Obadiah Stane, Look at this! Tony. We were going to meet at the hospital.
Tony," No, I'm fine."
Obadiah Stane," Look at you! You had to have a burger, yeah?"
Tony," Well, come on."
Obadiah Stane, You get me one of those?
Tony, There's only one left. I need it.
Obadiah Stane," Hey, look who's here! Yeah!"
Agent Coulson, Miss Potts?
Pepper Potts, Yes.
Agent Coulson, Can I speak to you for a moment?
Pepper Potts," I'm not part of the press conference, but it's about to begin right now."
Agent Coulson," I'm not a reporter. I'm Agent Phil Coulson, with the Strategic Homeland Intervention, Enforcement and Logistics Division."
Pepper Potts, That's quite a mouthful.
Agent Coulson, I know. We're working on it.
Pepper Potts," You know, we've been approached already by the DOD, the FBI, the CIA..."
Agent Coulson, We're a separate division with a more specific focus. We need to debrief Mr. Stark about the circumstances of his escape.
Pepper Potts," I'll put something in the book, shall I?"
Agent Coulson, Thank you.
Obadiah Stane," Well, let's get this started, uh..."
Tony," Hey, would it be all right if everyone sat down? [Sitting in front of the podium.] Why don't you just sit down? That way you can see me, and I can... A little less formal and... [Tony takes a bite of his cheeseburger as everyone sits, or squats, down]"
James Rhodes, What's up with the love-in?
Pepper Potts, Don't look at me. I don't know what he's up to.
Tony, Good to see you.
Obadiah Stane, Good to see you.
Tony," I never got to say goodbye to Dad. I never got to say goodbye to my father. There's questions that I would have asked him. I would have asked him how he felt about what this company did. If he was conflicted, if he ever had doubts. Or maybe he was every inch the man we all remember from the newsreels. I saw young Americans killed by the very weapons I created to defend them and protect them. And I saw that I had become part of a system that is comfortable with zero accountability."
Reporters, Mr. Stark!
Tony," Hey, Ben."
Tony," I had my eyes opened. [Tony stands and moves behind the podium.] I came to realize that I have more to offer this world than just making things that blow up. And that is why, effective immediately, I am shutting down the weapons manufacturing division of Stark International [Everyone stands up in commotion.] until such a time as I can decide what the future of the company will be."
Obadiah Stane, I think we're gonna be selling a lot of newspapers. [Standing up beside Tony.]
Tony," What direction it should take, one that I'm comfortable with and is consistent with the highest good for this country, as well. [Tony leaves the stage.]"
Obadiah Stane," What we should take away from this is that Tony's back! And he's healthier than ever. We're going to have a little internal discussion and we'll get back to you with the follow-up. [Obadiah is shown on a Segway, riding up to one of the Stark buildings. Happy leaning against a car outside.] Where is he?"
Happy, He's inside.
Obadiah Stane," Well, that..uh... That went well."
Tony, Did I just paint a target on the back of my head?
Obadiah Stane, Your head? What about my head? What do you think the over-under on the stock drop is gonna be tomorrow?
Tony," Uh, optimistically, 40 points."
Obadiah Stane, At minimum.
Tony, Yep.
Obadiah Stane," Tony, we're a weapons manufacturer."
Tony," Obie, I just don't want a body count to be our only legacy."
Obadiah Stane, That's what we do. We're iron mongers. We make weapons.
Tony, It's my name on the side of the building.
Obadiah Stane, And what we do keeps the world from falling into chaos.
Tony, Not based on what I saw. We're not doing a good enough job. We can do better. We're gonna do something else.
Obadiah Stane, Like what? You want us to make baby bottles?
Tony, I think we should take another look into arc reactor technology.
Obadiah Stane," Ah, come on. The arc reactor, that's a publicity stunt! Tony, come on. We built that thing to shut the hippies up."
Tony, It works.
Obadiah Stane," Yeah, as a science project. The arc was never cost effective. We knew that before we built it. Arc reactor technology, that's a dead end, right?"
Tony, Maybe.
Obadiah Stane, Huh? Am I right? We haven't had a breakthrough in that in what? Thirty years.
Tony," That's what they say. Could you have a lousier poker face? Just tell me, who told you?"
Obadiah Stane, Never mind who told me. Show me.
Tony, It's Rhodey or Pepper.
Obadiah Stane, I want to see it.
Tony," Okay, Rhodey. [Tony opens his shirt to show Obadiah the reactor in his chest.]"
Obadiah Stane, Okay. [Obadiah begins to button Tony's shirt back up.]
Tony, Okay? It works.
Obadiah Stane," Listen to me, Tony. We're a team. Do you understand? There's nothing we can't do if we stick together, like your father and I."
Tony," I'm sorry I didn't give you a heads-up, okay? But if I had..."
Obadiah Stane," Tony. Tony, no more of this ""ready, fire, aim"" business. You understand me?"
Tony, That was Dad's line.
Obadiah Stane, You gotta let me handle this. We're gonna have to play a whole different kind of ball now. We're going to have to take a lot of heat. I want you to promise me that you're gonna lay low.
Newcaster," Stark Industries! I've got one recommendation! Ready? Ready? Sell, sell, sell! Abandon ship! Does the Hindenburg ring any bells? Let me show you the new Stark Industries business plan! Look, that's a weapons company that doesn't make weapons!"
Tony, [Over the intercoms] Pepper. How big are your hands?
Pepper Potts, What?
Tony, How big are your hands?
Pepper Potts, I don't understand why...
Tony," Get down here. I need you. [Pepper enters Tony's workshop to find Tony lying shirtless on a chair.] Hey. Let's see them. Show me your hands. Let's see them. [Pepper holds up her hands as she comes closer.] Oh, wow. They are small. Very petite, indeed. I just uh.. need your help for a sec."
Pepper Potts," Oh, my God, is that the thing that's keeping you alive?"
Tony," It was. It is now an antique. This is what will be keeping me alive for the foreseeable future. I'm swapping it up for an upgraded unit, and I just ran into a little speed bump."
Pepper Potts," Speed bump, what does that mean?"
Tony," It's nothing. It's just a little snag. There's an exposed wire under this device. And it's contacting the socket wall and causing a little bit of a short. It's fine. [Tony pulls out the old device, handing it to Pepper.]"
Pepper Potts, What do you want me to do?
Tony, Put that on the table over there. That is irrelevant.
Pepper Potts," Oh, my God! [Setting the old reactor on the table.]"
Tony," I want you to reach in, and you're just gonna gently lift the wire out."
Pepper Potts, Is it safe?
Tony," Yeah, it should be fine. It's like Operation. You just don't let it touch the socket wall or it goes ""beep."""
Pepper Potts," What do you mean, ""Operation""?"
Tony," It's just a game, never mind. Just gently lift the wire."
Pepper Potts, Okay.
Tony, Okay? Great.
Pepper Potts," You know, I don't think that I'm qualified to do this."
Tony," No, you're fine. You're the most capable, qualified, trustworthy person I've ever met. You're gonna do great. Is it too much of a problem to ask? 'Cause I'm..."
Pepper Potts," Okay, okay."
Tony, I really need your help here.
Pepper Potts," Okay. [Slides her hand into the hole in Tony's chest.] Oh, there's pus!"
Tony," It's not pus. It's an inorganic plasmic discharge from the device, not from my body."
Pepper Potts, It smells!
Tony," Yeah, it does. The copper wire. The copper wire, you got it?"
Pepper Potts," Okay, I got it! I got it!"
Tony," Okay, you got it? Now, don't let it touch [Pepper lets it touch the side.] the sides when you're coming out!"
Pepper Potts, I'm sorry. I'm sorry.
Tony," That's what I was trying to tell you before. Okay, now make sure that when you pull it out, that you don't... [Pepper pulls out the wire with the magnet attached and the medical equipment starts beeping.] There's a magnet at the end of it! That was it. You just pulled it out."
Pepper Potts," Oh, God!"
Tony," Okay, I was not expecting..."
Pepper Potts," Okay, what do I do?"
Tony, Don't put it back in! Don't put it back in!
Pepper Potts, What's wrong?
Tony," Nothing, I'm just going into cardiac arrest--"
Pepper Potts, What? You said it was safe!
Tony, 'cause you yanked it out like a trout... We gotta hurry. Take this. Take this. You gotta switch it out really quick.
Pepper Potts, Okay. Okay. Tony?
Tony, What?
Pepper Potts, It's going to be okay. Okay?
Tony, Is it?
Pepper Potts, It's gonna be okay. I'm gonna make this okay.
Tony," Let's hope. Okay, you're gonna attach that to the base plate. Make s-sure you... [Screams went it attaches.] Was that so hard? That was fun, right? Here, I got it. I got it. Here. Nice."
Pepper Potts, Are you okay?
Tony," Yeah, I feel great. You okay?"
Pepper Potts," Don't ever, ever, ever, ever ask me to do anything like that ever again."
Tony, I don't have anyone but you. Anyway... [Tony rips on the wires off and stands up.]
Pepper Potts, What do you want me to do with this? [Holding Tony's old reactor.]
Tony, That? Destroy it. Incinerate it.
Pepper Potts, You don't want to keep it?
Tony," Pepper, I've been called many things. ""Nostalgic"" is not one of them."
Pepper Potts," Will that be all, Mr. Stark?"
Tony," That will be all, Miss Potts. [Turns to talk to his robot while he eyes Pepper as she walks away.] Hey, Butterfingers, come here. What's all this stuff doing on top of my desk? That's my phone, that's a picture of me and my dad. Right there. In the garbage. All that stuff."
James Rhodes," The future of air combat. Is it manned or unmanned? I'll tell you, in my experience, no unmanned aerial vehicle will ever trump a pilot's instinct, his insight, that ability to look into a situation beyond the obvious and discern its outcome, or a pilot's judgment."
Tony, Colonel? Why not a pilot without the plane?
James Rhodes, Look who fell out of the sky. Mr. Tony.
Man," Hello, sir."
Tony," Speaking of manned or unmanned, you gotta get him to tell you about the time he guessed wrong at spring break. Just remember that, spring break, 1987. That lovely lady you woke up with."
James Rhodes, Don't do that!
Tony, What was his name?
James Rhodes, Don't do that.
Tony, Was it Ivan?
James Rhodes, Don't do that. They'll believe it.
Tony, Okay.
James Rhodes, Don't do that.
Tony, Okay.
James Rhodes, Don't do that.
Tony, Pleasure meeting you.
James Rhodes," Give us a couple minutes, you guys. [The group walks off.] I'm surprised."
Tony, Why?
James Rhodes," I swear, I didn't expect to see you walking around so soon."
Tony, I'm doing a little better than walking.
James Rhodes, Really?
Tony," Yeah. Rhodey, I'm working on something big. I came to talk to you. I want you to be a part of it."
James Rhodes," You're about to make a whole lot of people around here real happy, 'cause that little stunt at the press conference, that was a doozy."
Tony, This is not for the military. I'm not... It's different.
James Rhodes, What? You're a humanitarian now or something?
Tony, I need you to listen to me.
James Rhodes, No. What you need is time to get your mind right. I'm serious.
Tony, Okay.
James Rhodes," It's nice seeing you, Tony. [Rhodey walks off.]"
Tony, Thanks.
Tony," JARVIS, you up?"
JARVIS," For you, sir, always."
Tony," I'd like to open a new project file, index as Mark Two."
